x,y,CIdn,CIup,alpha
3.283493955,1.22410246,1.000769904,1.447435016,0.04
3.304871541,1.239787327,1.020725522,1.458849132,0.04
3.326249126,1.255472194,1.040637795,1.470306592,0.04
3.347626712,1.271157061,1.060504115,1.481810006,0.04
3.369004297,1.286841927,1.08032169,1.493362165,0.04
3.390381883,1.302526794,1.100087534,1.504966054,0.04
3.411759468,1.318211661,1.119798456,1.516624866,0.04
3.433137054,1.333896528,1.139451043,1.528342012,0.04
3.454514639,1.349581394,1.159041652,1.540121136,0.04
3.475892225,1.365266261,1.178566394,1.551966129,0.04
3.49726981,1.380951128,1.198021119,1.563881137,0.04
3.518647395,1.396635995,1.21740141,1.575870579,0.04
3.540024981,1.412320862,1.236702569,1.587939154,0.04
3.561402566,1.428005728,1.255919605,1.600091851,0.04
3.582780152,1.443690595,1.275047234,1.612333956,0.04
3.604157737,1.459375462,1.294079869,1.624671054,0.04
3.625535323,1.475060329,1.313011623,1.637109035,0.04
3.646912908,1.490745195,1.33183631,1.649654081,0.04
3.668290494,1.506430062,1.350547463,1.662312662,0.04
3.689668079,1.522114929,1.369138342,1.675091517,0.04
3.711045665,1.537799796,1.387601966,1.687997626,0.04
3.73242325,1.553484663,1.405931145,1.70103818,0.04
3.753800836,1.569169529,1.424118527,1.714220532,0.04
3.775178421,1.584854396,1.442156651,1.727552142,0.04
3.796556007,1.600539263,1.460038017,1.741040509,0.04
3.817933592,1.61622413,1.477755165,1.754693094,0.04
3.839311178,1.631908997,1.495300766,1.768517227,0.04
3.860688763,1.647593863,1.512667722,1.782520004,0.04
3.882066349,1.66327873,1.529849278,1.796708183,0.04
3.903443934,1.678963597,1.546839131,1.811088063,0.04
3.92482152,1.694648464,1.563631554,1.825665374,0.04
3.946199105,1.71033333,1.580221504,1.840445156,0.04
3.967576691,1.726018197,1.596604735,1.85543166,0.04
3.988954276,1.741703064,1.612777885,1.870628243,0.04
4.010331862,1.757387931,1.628738564,1.886037297,0.04
4.031709447,1.773072798,1.644485404,1.901660191,0.04
4.053087033,1.788757664,1.660018096,1.917497233,0.04
4.074464618,1.804442531,1.675337397,1.933547665,0.04
4.095842204,1.820127398,1.690445112,1.949809683,0.04
4.117219789,1.835812265,1.70534405,1.96628048,0.04
4.138597375,1.851497132,1.720037953,1.98295631,0.04
4.15997496,1.867181998,1.734531418,1.999832578,0.04
4.181352546,1.882866865,1.74882979,2.016903941,0.04
4.202730131,1.898551732,1.762939051,2.034164413,0.04
4.224107716,1.914236599,1.776865709,2.051607488,0.04
4.245485302,1.929921465,1.790616678,2.069226253,0.04
4.266862887,1.945606332,1.804199166,2.087013499,0.04
4.288240473,1.961291199,1.817620568,2.10496183,0.04
4.309618058,1.976976066,1.830888373,2.123063758,0.04
4.330995644,1.992660933,1.844010073,2.141311793,0.04
4.352373229,2.008345799,1.85699309,2.159698509,0.04
4.373750815,2.024030666,1.869844714,2.178216618,0.04
4.3951284,2.039715533,1.882572053,2.196859013,0.04
4.416505986,2.0554004,1.895181989,2.215618811,0.04
4.437883571,2.071085267,1.907681149,2.234489384,0.04
4.459261157,2.086770133,1.920075885,2.253464381,0.04
4.480638742,2.102455,1.932372257,2.272537743,0.04
4.502016328,2.118139867,1.944576025,2.291703708,0.04
4.523393913,2.133824734,1.95669265,2.310956817,0.04
4.544771499,2.1495096,1.968727291,2.33029191,0.04
4.566149084,2.165194467,1.980684813,2.349704121,0.04
4.58752667,2.180879334,1.992569797,2.369188871,0.04
4.608904255,2.196564201,2.004386545,2.388741857,0.04
4.630281841,2.212249068,2.016139094,2.408359041,0.04
4.651659426,2.227933934,2.02783123,2.428036638,0.04
4.673037012,2.243618801,2.039466497,2.447771105,0.04
4.694414597,2.259303668,2.051048213,2.467559123,0.04
4.715792183,2.274988535,2.06257948,2.487397589,0.04
4.737169768,2.290673402,2.074063202,2.507283601,0.04
4.758547354,2.306358268,2.08550209,2.527214446,0.04
4.779924939,2.322043135,2.096898683,2.547187588,0.04
4.801302525,2.337728002,2.10825535,2.567200654,0.04
4.82268011,2.353412869,2.119574309,2.587251428,0.04
4.844057696,2.369097735,2.130857633,2.607337838,0.04
4.865435281,2.384782602,2.142107261,2.627457943,0.04
4.886812867,2.400467469,2.153325007,2.647609931,0.04
4.908190452,2.416152336,2.164512569,2.667792102,0.04
2.791809489,0.863350524,0.554220123,1.172480925,0.05
2.813187074,0.879035391,0.574433359,1.183637423,0.05
2.83456466,0.894720258,0.594634099,1.194806417,0.05
2.855942245,0.910405124,0.61482177,1.205988479,0.05
2.877319831,0.926089991,0.634995766,1.217184216,0.05
2.898697416,0.941774858,0.655155445,1.228394271,0.05
2.920075002,0.957459725,0.675300124,1.239619325,0.05
2.941452587,0.973144592,0.695429083,1.250860101,0.05
2.962830173,0.988829458,0.715541553,1.262117364,0.05
2.984207758,1.004514325,0.73563672,1.273391931,0.05
3.005585344,1.020199192,0.755713718,1.284684666,0.05
3.026962929,1.035884059,0.775771628,1.29599649,0.05
3.048340515,1.051568926,0.795809469,1.307328382,0.05
3.0697181,1.067253792,0.815826201,1.318681384,0.05
3.091095686,1.082938659,0.835820711,1.330056607,0.05
3.112473271,1.098623526,0.855791818,1.341455233,0.05
3.133850857,1.114308393,0.875738261,1.352878525,0.05
3.155228442,1.129993259,0.895658692,1.364327827,0.05
3.176606028,1.145678126,0.915551677,1.375804576,0.05
3.197983613,1.161362993,0.935415681,1.387310305,0.05
3.219361199,1.17704786,0.955249066,1.398846653,0.05
3.240738784,1.192732727,0.975050083,1.410415371,0.05
3.26211637,1.208417593,0.994816858,1.422018328,0.05
3.283493955,1.22410246,1.014547393,1.433657527,0.05
3.304871541,1.239787327,1.034239546,1.445335108,0.05
3.326249126,1.255472194,1.053891029,1.457053359,0.05
3.347626712,1.271157061,1.073499393,1.468814728,0.05
3.369004297,1.286841927,1.093062019,1.480621836,0.05
3.390381883,1.302526794,1.112576105,1.492477483,0.05
